Main	Middle	Sub	Address	Central	Unfiltered	Description	DatapointType	Security
		OG_Kind1_Wandlampe_Bett DIM_REL	1/3/61					Auto
		OG_Kind1_Wandlampe_Bett DIM_ABS	1/3/62					Auto
		OG_Kind1_Wandlampe_Bett TW_ABS	1/3/63					Auto
		OG_Kind1_Wandlampe_Bett TW_REL	1/3/64					Auto
		OG_Kind1_Wandlampe_Bett RGB_ABS	1/3/65					Auto
		OG_Kind1_Wandlampe_Bett RM_EA	1/3/66					Auto
		OG_Kind1_Wandlampe_Bett RM_DIM	1/3/67					Auto
		OG_Kind1_Wandlampe_Bett RM_TWRGB	1/3/68					Auto
		OG_Kind1_Wandlampe_Bett FEHLER	1/3/69					Auto
		OG_Kind2_Deckenlicht_Eingang EA	1/3/70					Auto
		OG_Kind2_Deckenlicht_Eingang DIM_REL	1/3/71					Auto
		OG_Kind2_Deckenlicht_Eingang DIM_ABS	1/3/72					Auto
		OG_Kind2_Deckenlicht_Eingang TW_ABS	1/3/73					Auto
		OG_Kind2_Deckenlicht_Eingang TW_REL	1/3/74					Auto
		OG_Kind2_Deckenlicht_Eingang RGB_ABS	1/3/75					Auto
		OG_Kind2_Deckenlicht_Eingang RM_EA	1/3/76					Auto
		OG_Kind2_Deckenlicht_Eingang RM_DIM	1/3/77					Auto
		OG_Kind2_Deckenlicht_Eingang RM_TWRGB	1/3/78					Auto
		OG_Kind2_Deckenlicht_Eingang FEHLER	1/3/79					Auto
		OG_Kind2_Deckenlicht_Zentral EA	1/3/80					Auto
		OG_Kind2_Deckenlicht_Zentral DIM_REL	1/3/81					Auto
		OG_Kind2_Deckenlicht_Zentral DIM_ABS	1/3/82					Auto
		OG_Kind2_Deckenlicht_Zentral TW_ABS	1/3/83					Auto
		OG_Kind2_Deckenlicht_Zentral TW_REL	1/3/84					Auto
		OG_Kind2_Deckenlicht_Zentral RGB_ABS	1/3/85					Auto
		OG_Kind2_Deckenlicht_Zentral RM_EA	1/3/86					Auto
		OG_Kind2_Deckenlicht_Zentral RM_DIM	1/3/87					Auto
		OG_Kind2_Deckenlicht_Zentral RM_TWRGB	1/3/88					Auto
		OG_Kind2_Deckenlicht_Zentral FEHLER	1/3/89					Auto
		OG_Kind2_Wandlampe_Bett EA	1/3/90					Auto
		OG_Kind2_Wandlampe_Bett DIM_REL	1/3/91					Auto
		OG_Kind2_Wandlampe_Bett DIM_ABS	1/3/92					Auto
		OG_Kind2_Wandlampe_Bett TW_ABS	1/3/93					Auto
		OG_Kind2_Wandlampe_Bett TW_REL	1/3/94					Auto
		OG_Kind2_Wandlampe_Bett RGB_ABS	1/3/95					Auto
		OG_Kind2_Wandlampe_Bett RM_EA	1/3/96					Auto
		OG_Kind2_Wandlampe_Bett RM_DIM	1/3/97					Auto
		OG_Kind2_Wandlampe_Bett RM_TWRGB	1/3/98					Auto
		OG_Kind2_Wandlampe_Bett FEHLER	1/3/99					Auto
		OG_Kind3_Deckenlicht_Eingang EA	1/3/100					Auto
		OG_Kind3_Deckenlicht_Eingang DIM_REL	1/3/101					Auto
